Date,Price,Open,High,Low,Vol.,Change %
2-Dec-24,91.4,92.6,92.8,91.2,2770000.0,-1.51%
1-Dec-24,92.8,91.3,92.8,90.5,6460000.0,1.87%
28-Nov-24,91.1,91.1,92,90.7,4480000.0,0.11%
27-Nov-24,91,92.7,93.8,90.9,5010000.0,-1.94%
26-Nov-24,92.8,92.6,93.1,91.9,2700000.0,0.22%
25-Nov-24,92.6,93.6,93.8,92,7870000.0,-1.38%
24-Nov-24,93.9,93.5,94.5,93.4,2520000.0,0.43%
21-Nov-24,93.5,92.8,93.8,92.7,2660000.0,0.54%
20-Nov-24,93,93.2,93.9,92.6,3250000.0,-0.32%
19-Nov-24,93.3,91.6,93.4,91,4320000.0,1.97%
18-Nov-24,91.5,89.3,91.5,88.7,4860000.0,2.46%
17-Nov-24,89.3,90,91.4,89.3,3020000.0,-1.11%
14-Nov-24,90.3,91.3,92.3,90.3,5030000.0,-1.42%
13-Nov-24,91.6,92.5,92.9,91.3,4680000.0,-1.93%
12-Nov-24,93.4,94.5,95.3,93.4,4340000.0,-1.06%
11-Nov-24,94.4,93.8,95.9,93.5,7040000.0,0.64%
10-Nov-24,93.8,93.1,96,93,9410000.0,1.19%
7-Nov-24,92.7,91,93,91,7710000.0,1.98%
6-Nov-24,90.9,89,92.3,88.9,12950000.0,2.25%
5-Nov-24,88.9,88.3,88.9,87.8,3500000.0,0.34%
4-Nov-24,88.6,87.9,88.7,87.7,3700000.0,0.68%
3-Nov-24,88,88,88.1,87.6,1210000.0,0.00%
31-Oct-24,88,88.3,88.4,87.4,3820000.0,-0.34%
30-Oct-24,88.3,88.2,89,88,6760000.0,0.11%
29-Oct-24,88.2,87.2,88.4,87,7250000.0,1.38%
28-Oct-24,87,86.6,87.1,86.3,4030000.0000000005,0.58%
27-Oct-24,86.5,87,87.7,86.3,5780000.0,1.88%
24-Oct-24,84.9,84.6,84.9,84,1880000.0,-0.12%
23-Oct-24,85,85.8,85.8,84.5,2870000.0,-0.93%
22-Oct-24,85.8,85.3,85.8,84.8,5280000.0,0.94%
21-Oct-24,85,82.6,85.4,82.6,7710000.0,2.78%
20-Oct-24,82.7,82.7,83.6,81.8,4650000.0,0.36%
17-Oct-24,82.4,84.8,85.2,82.4,8070000.0,-2.94%
16-Oct-24,84.9,85.1,85.4,84.7,2830000.0,-0.12%
15-Oct-24,85,86,86,84.8,5070000.0,0.00%
14-Oct-24,85,86.2,86.4,84.4,5350000.0,-1.62%
13-Oct-24,86.4,85.4,86.8,85.4,2120000.0,1.17%
10-Oct-24,85.4,84.2,85.9,83.9,2550000.0,1.67%
9-Oct-24,84,85.8,86.4,84,3510000.0,-1.98%
