Date,Price,Open,High,Low,Vol.,Change %
2024-12-02,59.5,57.0,59.5,57.0,1990000.0,4.39
2024-12-01,57.0,55.9,57.0,55.7,613360.0,1.97
2024-11-28,55.9,54.2,55.9,54.0,1550000.0,3.14
2024-11-27,54.2,53.3,54.2,53.1,1700000.0,1.69
2024-11-26,53.3,52.4,53.3,52.4,555130.0,2.3
2024-11-25,52.1,53.3,53.3,52.1,1520000.0,-1.7
2024-11-24,53.0,52.5,53.2,52.5,263170.0,0.57
2024-11-21,52.7,53.1,53.1,52.5,326640.0,-0.38
2024-11-20,52.9,52.6,53.3,52.6,418070.0,0.57
2024-11-19,52.6,52.9,53.0,52.6,753850.0,-0.75
2024-11-18,53.0,53.5,53.5,52.6,544620.0,-0.93
2024-11-17,53.5,53.4,53.7,53.2,254090.0,0.19
2024-11-14,53.4,53.8,54.2,53.1,604020.0,-0.93
2024-11-13,53.9,54.7,54.8,53.7,528660.0,-1.64
2024-11-12,54.8,54.8,55.0,54.0,818290.0,0.0
2024-11-11,54.8,55.1,55.5,54.7,530460.0,-0.72
2024-11-10,55.2,56.1,56.2,55.0,258940.0,-1.6
2024-11-07,56.1,55.5,56.3,55.4,600850.0,0.54
2024-11-06,55.8,55.6,56.2,55.0,488870.0,0.36
2024-11-05,55.6,55.7,55.7,54.5,466560.0,-0.18
2024-11-04,55.7,55.4,55.7,54.5,361540.0,0.72
2024-11-03,55.3,55.1,55.5,54.9,206360.0,0.36
2024-10-31,55.1,55.8,56.0,54.9,679880.0,-1.25
2024-10-30,55.8,56.1,56.5,55.7,461070.0,-0.36
2024-10-29,56.0,55.9,56.1,55.6,502960.0,0.18
2024-10-28,55.9,55.9,56.4,55.8,569380.0,0.0
2024-10-27,55.9,55.8,56.3,55.8,255050.0,0.36
2024-10-24,55.7,56.1,56.3,55.3,394650.0,-0.54
2024-10-23,56.0,56.3,56.9,56.0,248740.0,-1.06
2024-10-22,56.6,57.5,57.5,56.3,231260.0,-1.57
2024-10-21,57.5,56.8,57.5,56.8,209220.0,1.23
2024-10-20,56.8,57.0,57.0,56.3,102920.0,-0.35
2024-10-17,57.0,57.3,57.6,56.5,199190.0,-0.52
2024-10-16,57.3,58.5,58.5,57.3,310080.0,-2.55
2024-10-15,58.8,58.1,58.9,57.6,722460.0,1.03
2024-10-14,58.2,56.3,58.3,56.2,729890.0,3.37
2024-10-13,56.3,56.2,56.7,56.0,243130.0,0.36
2024-10-10,56.1,56.2,56.3,55.6,178340.0,0.36
2024-10-09,55.9,56.8,56.8,55.9,164020.0,-1.58
2024-10-08,56.8,56.6,56.8,55.6,399190.0,0.53
2024-10-07,56.5,55.7,56.5,55.7,506000.0,1.62
2024-10-06,55.6,55.5,56.8,55.2,824560.0,1.28
2024-10-03,54.9,54.9,55.2,54.5,584450.0,0.0
2024-10-02,54.9,55.5,55.5,54.5,425750.0,-1.44
2024-10-01,55.7,55.3,55.7,55.1,422410.0,0.91
2024-09-30,55.2,55.8,56.1,55.2,587090.0,-1.6
2024-09-29,56.1,57.1,57.3,55.9,557110.0,-2.43
2024-09-26,57.5,57.8,57.8,57.0,393350.0,-0.52
2024-09-25,57.8,57.0,57.8,56.9,502300.0,1.4
2024-09-24,57.0,56.0,57.0,55.9,724650.0,1.79
2024-09-22,56.0,56.0,56.4,56.0,203280.0,0.0
2024-09-19,56.0,55.5,56.0,55.3,676300.0,1.08
2024-09-18,55.4,54.7,55.5,54.5,587310.0,1.47
2024-09-17,54.6,55.5,55.5,54.5,513460.00000000006,-1.62
2024-09-16,55.5,55.3,55.5,54.7,315250.0,0.36
2024-09-15,55.3,55.7,55.8,55.0,166860.0,-0.36
2024-09-12,55.5,55.2,55.6,54.5,589880.0,1.83
2024-09-11,54.5,55.4,55.4,54.5,261280.0,-1.8
2024-09-10,55.5,55.3,55.5,54.9,417600.0,0.73
2024-09-09,55.1,54.7,55.5,54.6,285810.0,0.92
2024-09-08,54.6,55.7,55.8,54.6,237080.0,-2.5
2024-09-05,56.0,56.1,56.3,55.7,667090.0,-0.18
2024-09-04,56.1,54.6,56.2,54.0,1120000.0,1.63
2024-09-03,55.2,54.3,55.2,54.2,704810.0,2.22
2024-09-02,54.0,54.3,54.4,53.8,911890.0,0.0
2024-09-01,54.0,54.6,55.0,54.0,623660.0,-0.74
2024-08-29,54.4,55.2,55.3,54.4,1130000.0,-1.27
