Date,Price,Open,High,Low,Vol.,Change %
2-Dec-24,69.0,68.4,69.8,67.6,372970.0,1.47
1-Dec-24,68.0,68.0,69.2,67.0,240470.0,0.0
28-Nov-24,68.0,71.7,71.7,68.0,346830.0,-4.23
27-Nov-24,71.0,70.9,71.7,68.0,341120.0,0.85
26-Nov-24,70.4,72.0,72.9,70.2,466750.0,-1.95
25-Nov-24,71.8,74.9,74.9,71.3,766810.0,-4.77
24-Nov-24,75.4,77.5,78.4,75.2,120930.0,-2.71
21-Nov-24,77.5,77.6,78.2,77.3,49990.0,-0.26
20-Nov-24,77.7,78.6,78.9,77.1,84910.0,-1.15
19-Nov-24,78.6,78.9,79.6,78.0,100720.0,-0.38
18-Nov-24,78.9,77.9,79.2,77.5,122170.0,1.81
17-Nov-24,77.5,77.1,78.0,77.1,34980.0,0.52
14-Nov-24,77.1,78.1,78.6,77.0,81260.0,-1.28
13-Nov-24,78.1,78.0,78.5,77.0,74640.0,0.13
12-Nov-24,78.0,78.7,79.2,77.8,74190.0,-1.52
11-Nov-24,79.2,77.9,79.5,77.0,173380.0,1.54
10-Nov-24,78.0,78.6,79.0,77.6,93660.0,-0.76
7-Nov-24,78.6,78.8,79.7,78.4,103220.0,-1.38
6-Nov-24,79.7,79.9,80.8,79.1,169200.0,1.27
5-Nov-24,78.7,77.9,79.3,77.1,146050.0,1.03
4-Nov-24,77.9,79.7,79.8,77.7,174680.0,-2.62
3-Nov-24,80.0,81.0,81.3,80.0,93530.0,-1.23
31-Oct-24,81.0,82.2,82.2,80.2,202810.0,-0.74
30-Oct-24,81.6,80.3,82.9,80.2,382720.0,1.62
29-Oct-24,80.3,80.9,81.9,80.1,303810.0,-0.62
28-Oct-24,80.8,80.0,80.9,79.9,417830.0,1.0
27-Oct-24,80.0,79.6,81.3,79.4,170310.0,0.76
24-Oct-24,79.4,80.1,80.3,79.0,101180.0,-0.75
23-Oct-24,80.0,79.8,80.4,78.6,332320.0,0.63
22-Oct-24,79.5,79.6,80.9,78.9,265700.0,0.13
21-Oct-24,79.4,79.0,81.5,79.0,342390.0,0.51
20-Oct-24,79.0,80.1,80.5,79.0,361430.0,-1.5
17-Oct-24,80.2,81.7,82.5,79.8,228920.0,-1.6
16-Oct-24,81.5,79.9,82.3,79.5,568250.0,2.26
15-Oct-24,79.7,79.4,80.6,78.7,466540.0,0.5
14-Oct-24,79.3,78.6,79.7,77.9,433300.0,1.15
13-Oct-24,78.4,76.5,79.4,76.5,392470.0,2.62
10-Oct-24,76.4,76.4,78.6,76.4,375070.0,0.0
9-Oct-24,76.4,79.0,80.5,76.3,364450.0,-2.68
8-Oct-24,78.5,75.7,79.4,73.9,997950.0,3.97
7-Oct-24,75.5,75.8,77.9,74.9,928700.0,-1.05
6-Oct-24,76.3,80.0,80.3,75.9,253460.0,-4.62
3-Oct-24,80.0,81.9,83.0,79.2,329600.0,-2.2
2-Oct-24,81.8,84.0,84.5,81.5,365860.0,-3.65
1-Oct-24,84.9,85.7,85.9,84.7,106350.0,-0.93
30-Sep-24,85.7,83.7,86.7,83.7,361290.0,2.15
29-Sep-24,83.9,87.0,87.1,83.5,288690.0,-2.21
26-Sep-24,85.8,86.1,88.7,85.5,534480.0,0.23
25-Sep-24,85.6,86.3,86.5,85.0,434620.0,-0.81
24-Sep-24,86.3,87.4,88.3,85.9,437510.0,-1.26
22-Sep-24,87.4,89.0,91.4,87.0,400470.0,-1.91
19-Sep-24,89.1,83.8,90.3,83.2,2580000.0,6.45
18-Sep-24,83.7,82.5,84.1,81.4,325840.0,1.7
17-Sep-24,82.3,80.0,84.5,79.4,696150.0,3.52
16-Sep-24,79.5,81.2,81.6,79.5,369930.0,-1.85
15-Sep-24,81.0,82.9,82.9,80.5,402040.0,-0.98
12-Sep-24,81.8,80.4,82.9,80.4,915790.0,2.0
11-Sep-24,80.2,82.0,82.0,79.8,966700.0,-2.08
10-Sep-24,81.9,81.5,82.5,80.1,445220.0,2.12
9-Sep-24,80.2,81.5,82.5,80.2,897610.0,-0.87
8-Sep-24,80.9,79.8,82.7,78.0,857730.0,1.13
5-Sep-24,80.0,82.5,83.4,80.0,280560.0,-2.79
4-Sep-24,82.3,82.0,84.0,79.9,483970.0,-0.84
3-Sep-24,83.0,84.4,88.3,82.5,1360000.0,-0.95
2-Sep-24,83.8,79.1,84.5,78.5,1850000.0,7.16
1-Sep-24,78.2,73.5,79.0,73.1,944050.0,7.57
29-Aug-24,72.7,74.0,74.6,72.4,600170.0,-1.89
28-Aug-24,74.1,75.5,75.8,74.1,621090.0,-1.07
27-Aug-24,74.9,76.4,78.3,74.8,816040.0,-2.35
26-Aug-24,76.7,79.2,79.4,76.5,654880.0,-2.79
25-Aug-24,78.9,74.4,81.2,74.3,1620000.0,6.48
22-Aug-24,74.1,75.7,76.3,73.9,696700.0,-1.98
21-Aug-24,75.6,75.1,78.7,73.4,1560000.0,1.07
20-Aug-24,74.8,70.6,76.9,70.4,1550000.0,6.7
19-Aug-24,70.1,69.3,71.1,68.4,701480.0,1.15
18-Aug-24,69.3,70.0,72.2,68.7,1150000.0,-0.86
15-Aug-24,69.9,63.8,69.9,63.2,1890000.0,9.91
14-Aug-24,63.6,58.6,63.6,58.0,1560000.0,9.84
13-Aug-24,57.9,57.7,58.6,57.4,493090.0,0.7
12-Aug-24,57.5,59.0,59.4,57.3,784080.0,-1.37
11-Aug-24,58.3,60.1,62.0,58.3,745940.0,-3.0
8-Aug-24,60.1,61.9,61.9,59.1,381110.0,-2.91
7-Aug-24,61.9,59.8,62.5,59.5,571520.0,3.69
6-Aug-24,59.7,56.9,60.1,56.9,684970.0,5.29
5-Aug-24,56.7,59.5,59.5,55.9,1790000.0,-7.05
4-Aug-24,61.0,60.0,62.7,60.0,326430.0,-3.79
1-Aug-24,63.4,63.4,65.3,62.1,585670.0,0.0
31-Jul-24,63.4,62.4,63.7,61.4,472560.0,1.44
30-Jul-24,62.5,62.7,64.0,60.8,995560.0,0.48
29-Jul-24,62.2,58.5,63.0,58.4,1310000.0,6.14
28-Jul-24,58.6,59.3,59.7,56.3,548730.0,-0.34
25-Jul-24,58.8,59.5,59.5,58.5,91640.0,-0.84
24-Jul-24,59.3,58.7,59.8,58.0,310350.0,0.85
23-Jul-24,58.8,59.7,59.7,58.4,148070.0,-0.84
22-Jul-24,59.3,57.8,59.3,57.8,282260.0,2.07
21-Jul-24,58.1,58.9,58.9,57.4,234200.0,-1.53
18-Jul-24,59.0,60.5,60.6,58.5,367580.0,-2.32
17-Jul-24,60.4,59.3,61.0,59.2,639310.0,1.85
16-Jul-24,59.3,58.5,59.8,58.1,471520.0,1.37
15-Jul-24,58.5,58.4,59.0,56.9,438410.0,0.34
14-Jul-24,58.3,58.3,59.3,57.7,482980.0,0.69
11-Jul-24,57.9,56.1,58.0,55.7,658510.0,3.39
10-Jul-24,56.0,56.0,56.9,55.7,638570.0,0.0
9-Jul-24,56.0,52.8,56.9,52.8,1720000.0,6.06
8-Jul-24,52.8,52.2,53.7,51.3,1290000.0,1.54
7-Jul-24,52.0,49.2,52.2,49.15,1410000.0,5.91
4-Jul-24,49.1,50.1,50.9,48.4,1580000.0,-1.8
3-Jul-24,50.0,50.4,50.5,49.4,966090.0,-1.19
2-Jul-24,50.6,51.5,51.9,50.5,1280000.0,-1.56
1-Jul-24,51.4,52.8,52.9,50.4,1320000.0,-2.28
30-Jun-24,52.6,55.3,55.6,52.2,891670.0,-5.73
27-Jun-24,55.8,55.6,56.3,55.3,278440.0,0.36
26-Jun-24,55.6,56.2,56.6,55.5,192430.0,-1.24
25-Jun-24,56.3,55.3,57.4,55.3,445180.0,1.81
24-Jun-24,55.3,56.0,56.3,55.1,101930.0,-1.6
23-Jun-24,56.2,57.4,57.4,56.0,52110.0,-1.4
13-Jun-24,57.0,58.0,58.3,56.6,256880.0,-0.87
12-Jun-24,57.5,58.5,59.2,57.3,237430.0,-3.2
11-Jun-24,59.4,57.5,61.2,57.1,420410.0,3.66
10-Jun-24,57.3,57.2,60.5,56.9,273540.0,0.53
9-Jun-24,57.0,54.26,58.2,53.57,385720.0,6.06
6-Jun-24,53.74,55.71,56.74,53.4,405390.0,-3.98
5-Jun-24,55.97,57.43,57.51,55.97,171610.0,-1.8
4-Jun-24,57.0,58.11,59.4,57.0,543040.0,-1.92
3-Jun-24,58.11,58.71,60.6,58.03,388660.0,-1.02
2-Jun-24,58.71,57.94,59.23,57.17,309330.0,1.18
30-May-24,58.03,59.74,60.26,57.86,206120.0,-2.73
29-May-24,59.66,59.74,60.26,58.71,121270.0,0.72
28-May-24,59.23,59.57,60.0,59.06,119420.0,-0.72
27-May-24,59.66,59.83,60.17,58.63,273930.0,-0.14
26-May-24,59.74,60.0,60.0,59.31,70820.0,-0.29
23-May-24,59.91,60.09,60.43,59.14,153050.0,-0.14
22-May-24,60.0,60.94,60.94,59.4,149800.0,-1.41
21-May-24,60.86,61.54,62.31,60.34,281980.0,0.0
20-May-24,60.86,59.83,61.63,59.83,274740.0,2.16
19-May-24,59.57,59.83,63.09,58.46,398360.0,-0.57
16-May-24,59.91,61.71,62.4,59.83,282880.0,-2.92
15-May-24,61.71,63.43,63.51,61.63,179180.0,-2.7
14-May-24,63.43,64.46,64.46,62.57,201970.0,-1.33
13-May-24,64.29,63.86,64.71,63.6,182910.0,0.0
12-May-24,64.29,66.0,66.0,63.94,384990.0,-2.6
9-May-24,66.0,67.89,67.89,64.8,309720.0,-2.78
8-May-24,67.89,68.4,68.4,67.11,172460.0,-0.25
7-May-24,68.06,68.23,68.31,66.77,200930.0,0.25
6-May-24,67.89,69.51,70.11,67.11,214310.0,-2.46
5-May-24,69.6,69.6,70.37,68.66,119430.0,0.0
2-May-24,69.6,70.29,70.8,67.29,630350.0,-4.13
1-May-24,72.6,71.14,72.6,70.89,183060.0,1.07
30-Apr-24,71.83,70.03,71.83,69.34,116860.0,2.57
29-Apr-24,70.03,71.57,72.09,69.6,187280.0,-1.68
28-Apr-24,71.23,71.23,72.17,70.63,118180.0,-0.72
25-Apr-24,71.74,72.69,72.69,70.97,82890.0,-0.12
24-Apr-24,71.83,72.86,73.29,69.51,227730.0,-1.41
23-Apr-24,72.86,72.86,73.71,71.57,372490.0,0.12
22-Apr-24,72.77,71.91,74.14,71.91,510790.0,1.19
21-Apr-24,71.91,69.86,72.0,69.6,311200.0,3.33
18-Apr-24,69.6,68.83,70.63,68.14,441600.0,1.12
17-Apr-24,68.83,68.14,69.26,66.86,380490.0,0.63
16-Apr-24,68.4,70.11,70.11,67.8,287160.0,-1.48
15-Apr-24,69.43,65.23,69.86,64.29,859140.0,6.44
14-Apr-24,65.23,62.4,66.0,62.23,442000.0,-1.68
4-Apr-24,66.34,65.14,67.03,64.2,495240.0,2.11
3-Apr-24,64.97,65.06,65.66,64.11,192960.0,0.26
2-Apr-24,64.8,64.29,65.83,63.17,243400.0,0.13
1-Apr-24,64.71,65.49,66.94,64.71,172410.0,-2.71
31-Mar-24,66.51,69.69,70.03,65.4,204100.0,-3.96
28-Mar-24,69.26,73.63,73.63,68.57,303330.0,-2.53
27-Mar-24,71.06,69.94,71.4,69.6,190870.0,0.24
26-Mar-24,70.89,73.29,73.37,70.37,237560.0,-3.39
25-Mar-24,73.37,73.63,74.23,72.77,149170.0,-0.35
24-Mar-24,73.63,74.14,75.94,72.51,412610.0,1.54
21-Mar-24,72.51,72.0,74.31,71.4,264420.0,0.71
20-Mar-24,72.0,72.0,73.8,72.0,186040.0,0.24
19-Mar-24,71.83,73.03,74.83,71.83,240400.0,-1.64
18-Mar-24,73.03,75.26,75.26,72.51,338500.0,-2.96
17-Mar-24,75.26,74.66,76.11,74.4,177170.0,-0.45
14-Mar-24,75.6,76.46,76.71,74.31,144640.0,-0.9
13-Mar-24,76.29,74.83,76.8,74.49,209190.0,2.18
12-Mar-24,74.66,74.91,77.23,74.49,279540.0,0.11
11-Mar-24,74.57,77.83,79.29,74.14,295620.0,-3.76
10-Mar-24,77.49,74.14,77.91,74.14,495450.0,4.51
7-Mar-24,74.14,76.97,76.97,72.43,790660.0,-3.67
6-Mar-24,76.97,81.6,83.31,76.63,1010000.0,-5.67
5-Mar-24,81.6,79.97,81.86,79.46,275810.0,2.04
4-Mar-24,79.97,82.03,83.14,79.11,336640.0,-2.51
3-Mar-24,82.03,80.83,84.17,78.77,741270.0,1.48
29-Feb-24,80.83,74.66,81.0,73.46,1170000.0,8.77
28-Feb-24,74.31,71.14,74.31,70.97,490350.0,4.71
27-Feb-24,70.97,71.14,72.34,70.37,296830.0,-0.6
26-Feb-24,71.4,73.71,73.71,70.63,297750.0,-3.14
25-Feb-24,73.71,73.11,74.14,72.6,459950.0,0.58
21-Feb-24,73.29,74.91,75.0,73.29,186180.0,-1.5
20-Feb-24,74.4,74.14,75.26,74.14,232940.0,0.35
19-Feb-24,74.14,74.57,75.43,73.03,241360.0,-0.35
18-Feb-24,74.4,75.0,76.29,73.89,251610.0,-0.57
15-Feb-24,74.83,74.14,75.94,73.71,393820.0,1.51
14-Feb-24,73.71,70.71,73.71,70.2,408980.0,4.12
13-Feb-24,70.8,73.03,73.03,70.37,283860.0,-2.13
12-Feb-24,72.34,71.74,73.63,71.74,380750.0,0.84
11-Feb-24,71.74,70.97,73.37,70.29,436500.0,1.09
8-Feb-24,70.97,71.57,71.57,70.03,202660.0,0.0
7-Feb-24,70.97,72.86,72.86,69.94,262500.0,-0.96
6-Feb-24,71.66,71.14,72.86,70.54,501040.0,0.97
5-Feb-24,70.97,69.77,71.4,69.0,382210.0,2.99
4-Feb-24,68.91,68.23,71.14,68.23,420840.0,1.13
1-Feb-24,68.14,68.83,69.77,67.63,315060.0,0.38
31-Jan-24,67.89,67.03,72.69,66.86,1190000.0,1.28
30-Jan-24,67.03,67.71,67.71,65.06,479510.0,0.0
29-Jan-24,67.03,65.14,67.63,64.46,673700.0,2.89
