Date,Price,Open,High,Low,Vol.,Change %
24-Nov-24,10.48,10.40,10.86,10.34,9.74,0.35
17-Nov-24,10.34,10.36,10.46,10.30,7.08,-0.39
10-Nov-24,10.38,10.60,10.64,10.36,10.26,-1.89
3-Nov-24,10.58,10.56,10.60,10.36,9.90,0.19
27-Oct-24,10.56,10.76,11.02,10.52,14.68,-1.31
20-Oct-24,10.70,10.82,10.86,10.66,6.87,-1.11
13-Oct-24,10.82,10.64,11.12,10.56,11.72,1.88
6-Oct-24,10.62,10.82,10.86,10.50,8.31,-1.67
29-Sep-24,10.80,10.98,11.18,10.76,12.68,-1.64
22-Sep-24,10.98,11.18,11.22,10.98,8.71,-1.44
15-Sep-24,11.14,10.74,11.36,10.64,14.48,4.11
8-Sep-24,10.70,11.04,11.08,10.68,7.22,-3.95
1-Sep-24,11.14,11.24,11.32,11.02,13.39,-0.36
25-Aug-24,11.18,11.00,11.34,11.00,7.41,2.57
18-Aug-24,10.90,10.60,10.96,10.60,19.97,2.83
11-Aug-24,10.60,10.62,10.70,10.46,8.42,-0.19
4-Aug-24,10.62,10.68,10.86,10.30,12.25,-1.12
28-Jul-24,10.74,11.00,11.06,10.72,10.21,-2.36
21-Jul-24,11.00,11.22,11.46,10.92,14.03,-2.14
14-Jul-24,11.24,11.06,11.26,10.90,12.51,2.18
7-Jul-24,11.00,10.96,11.10,10.84,10.07,0.36
30-Jun-24,10.96,11.78,11.82,10.92,16.34,-6.48
23-Jun-24,11.72,11.78,11.98,11.32,19.15,-0.51
16-Jun-24,11.78,11.60,11.78,11.58,2.36,1.38
9-Jun-24,11.62,11.40,11.86,11.34,37.98,2.47
2-Jun-24,11.34,11.44,11.68,11.24,19.98,-0.87
26-May-24,11.44,12.04,12.10,11.38,9.49,-5.14
19-May-24,12.06,11.56,12.10,11.44,12.51,4.51
12-May-24,11.54,12.16,12.22,11.52,13.74,-5.10
5-May-24,12.16,12.10,12.32,12.10,7.74,0.33
28-Apr-24,12.12,12.06,12.18,12.02,8.56,0.66
21-Apr-24,12.04,12.40,12.44,12.00,11.70,-2.90
14-Apr-24,12.40,12.64,12.86,12.30,16.19,-4.17
7-Apr-24,12.94,12.82,13.02,12.82,3.43,0.94
31-Mar-24,12.82,12.78,12.88,12.54,16.11,0.63
24-Mar-24,12.74,13.00,13.04,12.60,23.70,-2.00
17-Mar-24,13.00,12.94,13.18,12.92,31.57,0.46
10-Mar-24,12.94,13.04,13.08,12.88,29.86,-0.61
3-Mar-24,13.02,15.00,15.18,12.80,119.13,-13.20
25-Feb-24,15.00,14.08,15.04,14.06,27.02,6.53
18-Feb-24,14.08,13.62,14.34,13.60,24.71,3.07
11-Feb-24,13.66,13.70,13.90,13.44,13.22,-0.58
4-Feb-24,13.74,13.32,13.74,13.26,10.97,3.00
28-Jan-24,13.34,13.58,13.64,13.24,11.28,-1.91
21-Jan-24,13.60,13.34,13.60,13.18,10.94,1.64
14-Jan-24,13.38,14.02,14.10,13.28,19.92,-4.56
7-Jan-24,14.02,14.08,14.36,14.00,17.32,-0.99
31-Dec-23,14.16,14.14,14.52,14.00,20.67,0.28
24-Dec-23,14.12,13.98,14.34,13.92,10.58,1.15
17-Dec-23,13.96,14.18,14.32,13.94,15.06,-1.27
10-Dec-23,14.14,14.06,14.96,14.04,25.79,0.43
3-Dec-23,14.08,14.00,14.10,13.90,9.27,0.43
26-Nov-23,14.02,14.08,14.08,13.90,7.88,-0.43
